date_sent,slot,item_type,track,title,source_url,arxiv_or_doi,topic_tags,quality_label
2026-06-03,1,paper,karaoke_jp,HeartMuLa: A Family of Open Sourced Music Foundation Models,https://arxiv.org/abs/2601.10547v2,2601.10547v2,lyrics recognition|text-to-audio/music|codec/tokenizer|karaoke-jp,重要
2026-06-03,2,paper,karaoke_jp,Exploiting Music Source Separation for Automatic Lyrics Transcription with Whisper,https://arxiv.org/abs/2506.15514v1,2506.15514v1,lyrics recognition|karaoke-jp,重要
2026-06-03,1,paper,karaoke_jp,CMI-Bench: A Comprehensive Benchmark for Evaluating Music Instruction Following,https://arxiv.org/abs/2506.12285v2,2506.12285v2,lyrics recognition|text-to-audio/music|caption/data|karaoke-jp|evaluation,重要
2026-06-03,2,paper,karaoke_jp,Enhancing Lyrics Transcription on Music Mixtures with Consistency Loss,https://arxiv.org/abs/2506.02339v1,2506.02339v1,lyrics recognition|karaoke-jp,重要
2026-06-04,1,paper,karaoke_jp,BASS: Benchmarking Audio LMs for Musical Structure and Semantic Reasoning,https://arxiv.org/abs/2602.04085v1,2602.04085v1,karaoke-jp|evaluation,重要
2026-06-04,2,paper,karaoke_jp,"SingNet: Towards a Large-Scale, Diverse, and In-the-Wild Singing Voice Dataset",https://arxiv.org/abs/2505.09325v1,2505.09325v1,karaoke-jp,重要
2026-06-04,1,paper,karaoke_jp,VietLyrics: A Large-Scale Dataset and Models for Vietnamese Automatic Lyrics Transcription,https://arxiv.org/abs/2510.22295v2,2510.22295v2,lyrics recognition|karaoke-jp|evaluation,重要
2026-06-04,2,paper,karaoke_jp,EngravingGNN: A Hybrid Graph Neural Network for End-to-End Piano Score Engraving,https://arxiv.org/abs/2509.19412v1,2509.19412v1,JPOP|karaoke-jp|evaluation,重要
2026-06-05,1,paper,mean_audio,"AudioGen-Omni: A Unified Multimodal Diffusion Transformer for Video-Synchronized Audio, Speech, and Song Generation",https://arxiv.org/abs/2508.00733v4,2508.00733v4,text-to-audio/music,重要
2026-06-05,2,paper,mean_audio,ACE-Step: A Step Towards Music Generation Foundation Model,https://arxiv.org/abs/2506.00045v1,2506.00045v1,text-to-audio/music|flow/diffusion,重要
